> Croatia
15.3965 45.6363
15.3987 45.6381
15.4048 45.6433
15.406 45.6458
15.409 45.6521
15.4108 45.6637
15.4104 45.6697
15.4078 45.6775
15.402 45.6826
15.3951 45.6864
15.3823 45.6902
15.3669 45.6907
15.351 45.6865
15.3357 45.6847
15.3352 45.6847
15.3163 45.6836
15.3102 45.6882
15.307 45.6934
15.3044 45.6998
15.3051 45.708
15.3077 45.712
15.3107 45.7163
15.3198 45.7225
15.3297 45.7283
15.338 45.7335
15.3491 45.7399
15.3583 45.7444
15.3685 45.7489
15.3792 45.7513
15.3901 45.7554
15.4021 45.7593
15.4185 45.7629
15.4266 45.7639
15.4317 45.7646
15.4471 45.7653
15.4546 45.766
15.4588 45.7664
15.4675 45.7674
15.4758 45.7716
15.4867 45.7787
15.4923 45.7844
15.4993 45.7927
15.5084 45.803
15.5139 45.809
15.5238 45.8166
15.5317 45.8208
15.5433 45.8265
15.5536 45.8291
15.5639 45.8319
15.5761 45.8368
15.5882 45.8361
15.5986 45.8354
15.6216 45.8381
15.6298 45.8372
15.643 45.8357
15.6512 45.8364
15.6596 45.8371
15.6665 45.8404
15.6792 45.8484
15.683 45.8508
15.6856 45.8524
15.6901 45.8575
15.6906 45.858
15.692 45.8616
15.6937 45.8658
15.6927 45.874
15.6946 45.8805
15.6931 45.8891
15.693 45.8898
15.6919 45.8959
15.6926 45.902
15.6926 45.9028
15.697 45.9113
15.6974 45.9121
15.6976 45.9123
15.704 45.9193
15.7067 45.9248
15.7098 45.9313
15.7149 45.9396
15.7176 45.948
15.7185 45.958
15.7186 45.9673
15.7191 45.9755
15.7186 45.9859
15.7186 45.9861
15.7164 45.9976
15.716 45.9997
15.716 46
15.7181 46.0136
15.7201 46.0203
15.7203 46.0206
15.7239 46.0314
15.7237 46.0366
15.7234 46.0434
15.7234 46.0448
15.723 46.0496
15.7227 46.0533
15.7138 46.0626
15.712 46.0645
15.7051 46.0686
15.6957 46.0731
15.6903 46.0754
15.6856 46.0775
15.6849 46.0777
15.6721 46.0825
15.6607 46.0856
15.6534 46.0884
15.6533 46.0884
15.6416 46.0929
15.6346 46.0958
15.6343 46.0959
15.634 46.0961
15.6252 46.1016
15.6235 46.1053
15.6185 46.1159
15.6158 46.1216
15.6109 46.1294
15.6111 46.1369
15.612 46.143
15.6127 46.1512
15.6127 46.1584
15.6127 46.1587
15.6133 46.1698
15.6138 46.1748
15.614 46.1766
15.6166 46.1854
15.6197 46.1907
15.6342 46.2011
15.6463 46.2051
15.6494 46.2061
15.6579 46.2096
15.6761 46.2121
15.6862 46.2128
15.6979 46.2158
15.7167 46.2154
15.7286 46.2188
15.7445 46.2209
15.7476 46.2213
15.7529 46.2222
15.7664 46.2242
15.7781 46.2272
15.7974 46.2303
15.8093 46.2325
15.8216 46.2414
15.8249 46.2526
15.8288 46.2588
15.8348 46.2632
15.8517 46.2681
15.8622 46.2707
15.8784 46.2713
15.8875 46.2724
15.9059 46.2739
15.9217 46.2778
15.9347 46.2811
15.9504 46.2852
15.9643 46.2904
15.9737 46.2931
15.9848 46.2973
15.9971 46.3019
16 46.303
16.0109 46.3072
16.0199 46.3119
16.0263 46.3168
16.027 46.3173
16.0459 46.3323
16.0541 46.3404
16.0607 46.3467
16.0691 46.3566
16.0747 46.3727
16.0766 46.3745
16.0818 46.3792
16.0894 46.3862
16.1012 46.3916
16.1115 46.3962
16.1227 46.4
16.1419 46.4021
16.143 46.4022
16.1498 46.4033
16.1531 46.4037
16.1543 46.4039
16.1665 46.4021
16.1668 46.4021
16.1749 46.402
16.1816 46.402
16.1833 46.4021
16.1929 46.4023
16.2034 46.4005
16.2089 46.4004
16.213 46.4004
16.2188 46.4003
16.2317 46.398
16.2426 46.3957
16.2448 46.3953
16.2576 46.3934
16.2676 46.3946
16.2768 46.3957
16.2889 46.397
16.3011 46.3998
16.3026 46.4001
16.3164 46.4074
16.3216 46.4123
16.3286 46.4244
16.3296 46.4347
16.3236 46.4507
16.3122 46.4629
16.3066 46.4683
16.2967 46.4793
16.2923 46.4855
16.288 46.4941
16.288 46.5073
16.2907 46.5147
16.3015 46.5255
16.3022 46.5261
16.3129 46.5306
16.324 46.5334
16.3409 46.5375
16.3455 46.538
16.3477 46.5382
16.3527 46.5388
16.3727 46.5365
16.3826 46.5371
16.3908 46.5354
16.3998 46.5337
16.403 46.533
16.4237 46.5336
16.4335 46.531
16.4391 46.5295
16.4443 46.5281
16.465 46.5227
16.4836 46.5136
16.4997 46.5072
16.5278 46.4959
16.5418 46.4872
16.566 46.4837
16.5719 46.4925
16.5764 46.4906
16.58 46.4886
16.5845 46.4867
16.5897 46.4864
16.5958 46.4864
16.6011 46.4858
16.6053 46.4839
16.6061 46.4806
16.6061 46.4772
16.6081 46.4761
16.6125 46.4753
16.6183 46.4744
16.6231 46.4744
16.6286 46.475
16.6308 46.4722
16.6344 46.47
16.6397 46.4703
16.6456 46.4697
16.65 46.4678
16.6558 46.4669
16.6611 46.4656
16.6647 46.4636
16.6642 46.4597
16.6633 46.4553
16.6647 46.4519
16.6706 46.4511
16.6764 46.4503
16.6794 46.4475
16.6822 46.445
16.6844 46.4422
16.6867 46.4392
16.6889 46.4364
16.6911 46.4333
16.6925 46.43
16.6947 46.4272
16.6969 46.4242
16.6989 46.4211
16.7011 46.4183
16.7042 46.4158
16.7064 46.4128
16.7083 46.41
16.7114 46.4075
16.7136 46.4044
16.7164 46.4019
16.72 46.3997
16.7244 46.3981
16.7281 46.4
16.7306 46.4031
16.7331 46.4061
16.7375 46.4075
16.7419 46.4058
16.7425 46.4022
16.7419 46.3986
16.7414 46.395
16.7428 46.3917
16.7444 46.3892
16.7492 46.39
16.7533 46.3917
16.7558 46.3897
16.755 46.385
16.7556 46.3814
16.76 46.3794
16.7625 46.3825
16.7644 46.3861
16.7664 46.3897
16.7706 46.3911
16.7736 46.3886
16.7758 46.3858
16.7806 46.3867
16.7836 46.3892
16.7872 46.3911
16.7917 46.3928
16.7969 46.3931
16.8014 46.3914
16.8036 46.3886
16.8058 46.3855
16.8072 46.3819
16.8094 46.3794
16.8136 46.3775
16.8189 46.3764
16.8233 46.3744
16.8283 46.3733
16.8308 46.3761
16.8339 46.3786
16.8381 46.3803
16.8411 46.3778
16.8406 46.3739
16.8406 46.3697
16.8433 46.3672
16.8469 46.3653
16.8492 46.3622
16.8514 46.3594
16.8556 46.3575
16.8617 46.3575
16.8661 46.3558
16.8675 46.3522
16.8681 46.3519
16.8708 46.3494
16.8739 46.3467
16.8761 46.3439
16.8783 46.3411
16.8789 46.3372
16.8764 46.3344
16.875 46.3303
16.8742 46.3258
16.875 46.322
16.8764 46.3186
16.8778 46.3153
16.8786 46.3114
16.8792 46.308
16.8806 46.3044
16.8828 46.3017
16.885 46.2986
16.8872 46.2958
16.8886 46.2925
16.8886 46.2883
16.89 46.285
16.8928 46.2825
16.8964 46.2803
16.9003 46.278
16.9039 46.2761
16.9067 46.2733
16.9094 46.2706
16.9117 46.2678
16.9139 46.265
16.9167 46.2625
16.9197 46.2597
16.9247 46.2583
16.93 46.2569
16.9328 46.2547
16.9356 46.2522
16.9378 46.2494
16.9392 46.2461
16.9425 46.2447
16.9489 46.2444
16.9542 46.2431
16.9592 46.2417
16.9642 46.2403
16.9672 46.2378
16.9695 46.2358
16.9731 46.2336
16.9789 46.2325
16.985 46.2325
16.9908 46.2325
16.9967 46.2317
17 46.2304
17.0011 46.23
17.0053 46.2281
17.0097 46.2264
17.0142 46.2247
17.0183 46.2231
17.0228 46.2211
17.0272 46.2194
17.0317 46.2178
17.0358 46.2161
17.0403 46.2142
17.0453 46.2131
17.0503 46.2117
17.0556 46.2103
17.0597 46.2086
17.0642 46.2067
17.0672 46.2042
