> Slovenia
15.900662 46.712605
15.934199 46.695911
15.952033 46.686489
15.966173 46.684544
15.986574 46.685776
15.988724 46.684254
15.999850 46.676384
16.008215 46.670464
16.034664 46.660900
16.040089 46.681286
16.037661 46.691700
16.010717 46.715023
15.986679 46.741428
15.986917 46.759743
15.989457 46.769947
15.984419 46.781143
15.989384 46.792393
15.988624 46.802959
15.995388 46.811844
15.988274 46.818317
15.985753 46.823917
15.987416 46.831635
15.991074 46.835381
16.001966 46.834023
16.016068 46.838943
16.029896 46.840672
16.033628 46.837536
16.042355 46.841988
16.061092 46.842590
16.065937 46.852238
16.090868 46.866322
16.098417 46.864864
16.111889 46.871510
16.123470 46.861301
16.133125 46.857227
16.143663 46.855644
16.160736 46.859966
16.179501 46.860779
16.192226 46.868717
16.217207 46.871780
16.234455 46.877914
16.244560 46.875195
16.257906 46.875076
16.281437 46.873154
16.291830 46.869957
16.302530 46.859180
16.314436 46.857986
16.315767 46.857925
16.327168 46.847580
16.338717 46.846161
16.343903 46.837231
16.344580 46.830105
16.339607 46.819813
16.336338 46.813049
16.338013 46.805874
16.329618 46.797997
16.315001 46.794964
16.310453 46.788979
16.314283 46.776207
16.327106 46.774277
16.327953 46.768970
16.322199 46.760746
16.320908 46.753929
16.328371 46.748104
16.333073 46.741257
16.343578 46.732319
16.349552 46.717625
16.357527 46.713837
16.367029 46.719379
16.376614 46.711399
16.371813 46.702675
16.372717 46.698051
16.384483 46.695702
16.411003 46.694530
16.420149 46.689079
16.421551 46.686268
16.418579 46.682964
16.418428 46.663498
16.413218 46.657543
16.403812 46.656582
16.396448 46.659664
16.391747 46.659176
16.390013 46.651237
16.384903 46.642750
16.392105 46.630749
16.398811 46.631371
16.411428 46.627605
16.425714 46.613224
16.439320 46.609406
16.452560 46.598122
16.457479 46.593929
16.478359 46.579243
16.482492 46.566681
16.490906 46.560802
16.508959 46.562050
16.517733 46.549507
16.519056 46.549446
16.519720 46.535439
16.528585 46.530910
16.524923 46.520306
16.534124 46.512321
16.534637 46.507263
16.526081 46.501003
16.534719 46.497627
16.540138 46.495319
16.550518 46.489346
16.566000 46.483723
16.541779 46.487167
16.527779 46.495861
16.499750 46.507221
16.483555 46.513611
16.465055 46.522751
16.444279 46.528137
16.439056 46.529472
16.433500 46.530972
16.423695 46.533611
16.403000 46.533028
16.399778 46.533669
16.390806 46.535446
16.382610 46.537083
16.372667 46.536499
16.352694 46.538750
16.347694 46.538223
16.345472 46.537971
16.340889 46.537472
16.324028 46.533360
16.312916 46.530556
16.302166 46.526138
16.301527 46.525501
16.290667 46.514721
16.288000 46.507278
16.287971 46.494083
16.292250 46.485527
16.296694 46.479279
16.306583 46.468334
16.312166 46.462917
16.323639 46.450722
16.329611 46.434723
16.328583 46.424446
16.321611 46.412334
16.316360 46.407391
16.302610 46.400112
16.301083 46.399776
16.288889 46.397026
16.276806 46.395721
16.267584 46.394611
16.257584 46.393391
16.244749 46.395248
16.242640 46.395695
16.231722 46.397999
16.218805 46.400307
16.212973 46.400360
16.208860 46.400417
16.203362 46.400471
16.192888 46.402332
16.183306 46.402084
16.181555 46.402027
16.174944 46.402027
16.166805 46.402054
16.166471 46.402111
16.154333 46.403915
16.153111 46.403721
16.149834 46.403252
16.142973 46.402222
16.141890 46.402111
16.122723 46.400002
16.111528 46.396221
16.101194 46.391640
16.089390 46.386166
16.081778 46.379196
16.076611 46.374474
16.074722 46.372749
16.069084 46.356609
16.060667 46.346668
16.054083 46.340389
16.045889 46.332306
16.026972 46.317249
16.026333 46.316776
16.019861 46.311863
16.010889 46.307167
15.997056 46.301918
15.984750 46.297306
15.973695 46.293083
15.964278 46.290417
15.950444 46.285168
15.934667 46.281113
15.921722 46.277805
15.905889 46.273945
15.887527 46.272362
15.878417 46.271332
15.862166 46.270695
15.851750 46.268139
15.834833 46.263222
15.828834 46.258835
15.824944 46.252609
15.821584 46.241360
15.809278 46.232555
15.797444 46.230305
15.778111 46.227196
15.766444 46.224251
15.752889 46.222168
15.747556 46.221333
15.744500 46.220860
15.728611 46.218807
15.716722 46.215389
15.697917 46.215805
15.686250 46.212833
15.676056 46.212139
15.657945 46.209610
15.649417 46.206112
15.646305 46.205082
15.634222 46.201138
15.619695 46.190666
15.616583 46.185444
15.614028 46.176582
15.613833 46.174835
15.613305 46.169777
15.612722 46.158722
15.612695 46.158360
15.612722 46.151165
15.612028 46.143002
15.611139 46.136860
15.610917 46.129417
15.615778 46.121639
15.618472 46.115944
15.623500 46.105251
15.625195 46.101639
15.634027 46.096138
15.634334 46.095943
15.634611 46.095779
15.641639 46.092861
15.653306 46.088444
15.653361 46.088417
15.660722 46.085556
15.672112 46.082474
15.684944 46.077751
15.685611 46.077499
15.690333 46.075443
15.695666 46.073112
15.705055 46.068611
15.712028 46.064529
15.713805 46.062637
15.722694 46.053249
15.722972 46.049610
15.723361 46.044750
15.723416 46.043415
15.723666 46.036556
15.723861 46.031361
15.720250 46.020638
15.720139 46.020306
15.718056 46.013584
15.716000 45.999668
15.716389 45.997612
15.718555 45.986057
15.718555 45.985916
15.719055 45.975471
15.718638 45.967335
