> -Z0
30.160278 59.871807
30.160278 59.871529
30.162500 59.871529
30.162500 59.871250
30.163055 59.871250
30.163055 59.871529
30.167500 59.871529
30.167500 59.871250
30.168055 59.871250
30.168058 59.870419
30.168612 59.870415
30.168612 59.870140
30.169167 59.870140
30.169167 59.869862
30.170834 59.869862
30.170834 59.869583
30.174166 59.869583
30.174166 59.869305
30.175278 59.869305
30.175278 59.869026
30.176390 59.869026
30.176390 59.868752
30.177500 59.868752
30.177500 59.869026
30.178612 59.869026
30.178612 59.869862
30.178055 59.869862
30.178055 59.870140
30.177500 59.870140
30.177500 59.870419
30.176945 59.870419
30.176945 59.870693
30.176390 59.870693
30.176390 59.870972
30.174168 59.870972
30.174166 59.871250
30.173613 59.871250
30.173613 59.870972
30.173056 59.870972
30.173056 59.871529
30.172501 59.871529
30.172501 59.871807
30.171944 59.871807
30.171944 59.872360
30.172501 59.872360
30.172501 59.872639
30.173613 59.872639
30.173613 59.872917
30.174166 59.872917
30.174168 59.873196
30.174723 59.873196
30.174723 59.873749
30.175278 59.873749
30.175278 59.874027
30.174723 59.874027
30.174723 59.875694
30.175278 59.875694
30.175278 59.875973
30.175833 59.875973
30.175833 59.876251
30.176390 59.876251
30.176390 59.876526
30.176945 59.876526
30.176945 59.876804
30.177500 59.876804
30.177500 59.877361
30.178055 59.877361
30.178055 59.877640
30.178612 59.877640
30.178612 59.877918
30.179167 59.877918
30.179167 59.878471
30.178612 59.878471
30.178612 59.878750
30.178055 59.878750
30.178055 59.879028
30.174723 59.879028
30.174723 59.879307
30.171944 59.879307
30.171944 59.879581
30.171391 59.879585
30.171391 59.879860
30.170277 59.879860
30.170277 59.880138
30.169722 59.880138
30.169722 59.880695
30.170277 59.880695
30.170277 59.881805
30.169722 59.881805
30.169722 59.881248
30.168058 59.881248
30.168058 59.881527
30.167500 59.881527
30.167500 59.882084
30.168058 59.882084
30.168058 59.882637
30.168612 59.882637
30.168612 59.883472
30.168058 59.883472
30.168058 59.884029
30.167500 59.884029
30.167500 59.884304
30.166945 59.884304
30.166945 59.884583
30.166389 59.884583
30.166389 59.884861
30.165833 59.884861
30.165833 59.885418
30.165277 59.885418
30.165277 59.885693
30.164722 59.885693
30.164722 59.886250
30.164167 59.886250
30.164167 59.886528
30.163610 59.886528
30.163610 59.886806
30.163055 59.886806
30.163055 59.887085
30.162500 59.887085
30.162500 59.887360
30.160833 59.887360
30.160833 59.887638
30.159166 59.887638
30.159166 59.887917
30.157497 59.887917
30.157497 59.888195
30.156944 59.888195
30.156944 59.888474
30.155834 59.888474
30.155834 59.888748
30.154165 59.888748
30.154165 59.889027
30.152500 59.889027
30.152500 59.889305
30.151388 59.889305
30.151388 59.889584
30.150278 59.889584
30.150278 59.889862
30.149166 59.889862
30.149166 59.890141
30.147503 59.890141
30.147499 59.890415
30.146944 59.890415
30.146944 59.890694
30.146391 59.890694
30.146391 59.890972
30.145834 59.890972
30.145834 59.891251
30.144720 59.891251
30.144720 59.891529
30.143612 59.891529
30.143612 59.891804
30.141945 59.891804
30.141945 59.892082
30.140833 59.892082
30.140833 59.892361
30.139723 59.892361
30.139723 59.892639
30.138056 59.892639
30.138056 59.892918
30.136944 59.892918
30.136944 59.893196
30.135834 59.893196
30.135834 59.893471
30.134167 59.893471
30.134167 59.893749
30.133055 59.893749
30.133055 59.894028
30.131945 59.894028
30.131945 59.894306
30.130280 59.894306
30.130280 59.894585
30.129169 59.894585
30.129169 59.894859
30.128056 59.894859
30.128056 59.895138
30.126389 59.895138
30.126389 59.895416
30.125278 59.895416
30.125278 59.895695
30.124166 59.895695
30.124166 59.895973
30.122499 59.895973
30.122499 59.896252
30.121389 59.896252
30.121389 59.896526
30.120277 59.896526
30.120277 59.896805
30.118608 59.896805
30.118608 59.897083
30.117498 59.897083
30.117498 59.897362
30.116386 59.897362
30.116386 59.897640
30.114723 59.897640
30.114721 59.897915
30.113611 59.897915
30.113611 59.898193
30.112499 59.898193
30.112499 59.898472
30.110832 59.898472
30.110832 59.898750
30.109722 59.898750
30.109722 59.899029
30.109167 59.899029
30.109167 59.899307
30.107500 59.899307
30.107500 59.899582
30.105833 59.899582
30.105833 59.899860
30.104168 59.899860
30.104168 59.900139
30.103058 59.900139
30.103058 59.900417
30.101944 59.900417
30.101944 59.900696
30.100277 59.900696
30.100277 59.900970
30.099167 59.900970
30.099167 59.901249
30.097500 59.901249
30.097500 59.899860
30.098612 59.899860
30.098612 59.899582
30.100277 59.899582
30.100277 59.899307
30.102497 59.899307
30.102501 59.899029
30.103609 59.899029
30.103609 59.898750
30.106388 59.898750
30.106388 59.898472
30.106945 59.898472
30.106945 59.898193
30.108055 59.898193
30.108055 59.897640
